id,context_relevance,groundedness,answer_relevance
hc01_bad,0.3305,0.096,0.325
hc01_good,0.8941,0.6939,0.7888
hc01_mediocre,0.5653,0.4621,0.5183
hc02_bad,0.2147,0.2879,0.3278
hc02_good,0.8066,0.9402,0.9127
hc02_mediocre,0.4469,0.5443,0.4241
hc03_bad,0.3378,0.175,0.2315
hc03_good,0.6819,0.9278,0.8692
hc03_mediocre,0.4486,0.4377,0.5732
hc04_good,0.8365,0.883,0.9102
q01_graph,1.0,0.8175,0.8441
q01_vector,0.7186,0.8993,0.959
q02_graph,0.7886,0.7828,0.8223
q02_vector,0.8651,0.9095,0.918
q03_graph,0.6834,0.8486,0.8882
q03_vector,0.7719,0.8997,0.8957
q04_graph,0.8679,0.8554,0.9002
q04_vector,0.8631,0.7334,0.8576
q05_graph,0.753,0.7989,0.8607
q05_vector,0.9495,0.7807,0.9478
q06_graph,0.6317,0.8232,0.8914
q06_vector,0.8586,0.9069,0.9355
q07_graph,0.7151,0.793,0.9401
q07_vector,0.7309,0.7279,0.8007
q08_graph,0.7081,0.8898,0.89
q08_vector,0.869,0.8158,0.8911
q09_graph,0.8626,0.8253,0.912
q09_vector,0.7338,0.821,0.8533
q10_graph,0.6804,0.889,0.8471
q10_vector,0.8012,0.8885,0.9113
q11_graph,0.8665,0.8421,0.8504
q11_vector,0.792,0.715,0.7787
q12_graph,0.6677,0.7702,0.908
q12_vector,0.7095,0.8197,0.9709
q13_graph,0.7644,0.909,0.8146
q13_vector,0.7795,0.774,0.8563
q14_graph,0.834,0.6918,0.9104
q14_vector,0.7738,0.7825,0.7788
q15_graph,0.8072,0.8076,0.8963
q15_vector,0.8022,0.9781,0.8632
q16_graph,0.6977,0.8643,0.8954
q16_vector,0.9359,0.9168,0.905
q17_graph,0.8963,0.7349,0.8352
q17_vector,0.6573,0.7988,0.7836
q18_graph,0.8635,0.8322,0.777
q18_vector,0.6984,0.8751,0.9387
q19_graph,0.9997,1.0,0.909
q19_vector,0.701,0.6794,0.8987
q20_graph,0.6687,0.7968,0.8372
q20_vector,0.7359,0.9153,0.891
